Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,65.0,581.68,1.499,581.678,325,500,,0.0,0.0,11.1745
BeConcise,66.8,505.55,1.483,0.869,334,500,,13.09,1.8,13.2133
OnlyNumbers,26.4,29.45,0.827,0.051,132,500,,94.94,-38.6,89.6435
AbbreWords,66.2,407.31,1.474,0.7,331,500,,29.98,1.2,16.253
LC-Prompt,65.4,338.03,1.392,0.581,327,500,,41.89,0.4,19.3474
Truncation0.5,39.6,442.75,0.554,0.761,198,500,0.5,23.88,-25.4,8.9441
Truncation0.6,48.6,488.82,0.71,0.84,243,500,0.6,15.96,-16.4,9.9423
Truncation0.7,55.4,523.22,0.883,0.899,277,500,0.7,10.05,-9.6,10.5883
Truncation0.8,59.6,549.3,1.074,0.944,298,500,0.8,5.57,-5.4,10.8502
Truncation0.9,63.6,568.39,1.277,0.977,318,500,0.9,2.28,-1.4,11.1895
LLMLingua0.5,33.2,547.51,1.379,0.941,166,500,0.5,5.87,-31.8,6.0638
LLMLingua0.6,48.8,572.15,1.406,0.984,244,500,0.6,1.64,-16.2,8.5292
LLMLingua0.7,56.8,570.05,1.431,0.98,284,500,0.7,2.0,-8.2,9.964
LLMLingua0.8,61.2,581.85,1.451,1.0,306,500,0.8,-0.03,-3.8,10.5182
LLMLingua0.9,64.8,581.47,1.471,1.0,324,500,0.9,0.04,-0.2,11.1442
