Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,25.8,553.48,0.252,553.482,129,500,,0.0,0.0,4.6614
BeConcise,25.2,550.22,0.25,0.994,126,500,,0.59,-0.6,4.58
OnlyNumbers,23.0,535.54,0.251,0.968,115,500,,3.24,-2.8,4.2947
AbbreWords,24.8,550.61,0.25,0.995,124,500,,0.52,-1.0,4.5041
LC-Prompt,20.8,582.87,0.256,1.053,104,500,,-5.31,-5.0,3.5685
Truncation0.5,20.8,424.42,0.127,0.767,104,500,0.5,23.32,-5.0,4.9008
Truncation0.6,23.0,467.57,0.151,0.845,115,500,0.6,15.52,-2.8,4.919
Truncation0.7,24.6,500.44,0.174,0.904,123,500,0.7,9.58,-1.2,4.9157
Truncation0.8,25.4,523.95,0.195,0.947,127,500,0.8,5.34,-0.4,4.8478
Truncation0.9,25.8,540.66,0.223,0.977,129,500,0.9,2.32,0.0,4.7719
LLMLingua0.5,9.0,516.59,0.245,0.933,45,500,0.5,6.67,-16.8,1.7422
LLMLingua0.6,14.0,538.92,0.256,0.974,70,500,0.6,2.63,-11.8,2.5978
LLMLingua0.7,17.8,555.25,0.252,1.003,89,500,0.7,-0.32,-8.0,3.2058
LLMLingua0.8,21.6,578.08,0.251,1.044,108,500,0.8,-4.44,-4.2,3.7365
LLMLingua0.9,24.4,585.14,0.252,1.057,122,500,0.9,-5.72,-1.4,4.1699
LoRA0.5,13.8,397.37,0.122,0.718,69,500,0.5,28.21,-12.0,3.4728
LoRAGuided0.5,15.2,378.21,0.122,0.683,76,500,0.5,31.67,-10.6,4.0189
LoRASoft0.5,12.6,401.02,0.123,0.725,63,500,0.5,27.55,-13.2,3.142
LoRA0.6,16.8,429.02,0.146,0.775,84,500,0.6,22.49,-9.0,3.9159
LoRAGuided0.6,15.2,414.21,0.15,0.748,76,500,0.6,25.16,-10.6,3.6696
LoRASoft0.6,14.4,440.02,0.151,0.795,72,500,0.6,20.5,-11.4,3.2726
LoRA0.7,16.2,460.78,0.175,0.833,81,500,0.7,16.75,-9.6,3.5158
LoRAGuided0.7,14.8,450.16,0.176,0.813,74,500,0.7,18.67,-11.0,3.2877
LoRASoft0.7,12.8,477.95,0.175,0.864,64,500,0.7,13.65,-13.0,2.6781
LoRA0.8,17.4,472.11,0.197,0.853,87,500,0.8,14.7,-8.4,3.6856
LoRAGuided0.8,15.8,479.53,0.196,0.866,79,500,0.8,13.36,-10.0,3.2949
LoRASoft0.8,14.8,493.64,0.201,0.892,74,500,0.8,10.81,-11.0,2.9981
LoRA0.9,18.2,495.2,0.225,0.895,91,500,0.9,10.53,-7.6,3.6753
LoRAGuided0.9,16.8,495.0,0.225,0.894,84,500,0.9,10.57,-9.0,3.3939
LoRASoft0.9,14.8,514.27,0.229,0.929,74,500,0.9,7.08,-11.0,2.8779
LoRAAdaptive,17.8,498.24,0.227,0.9,89,500,adaptive,9.98,-8.0,3.5726
