Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,25.8,553.48,0.252,553.482,129,500,,0.0,0.0,4.6614
BeConcise,25.2,550.22,0.25,0.994,126,500,,0.59,-0.6,4.58
OnlyNumbers,23.0,535.54,0.251,0.968,115,500,,3.24,-2.8,4.2947
AbbreWords,24.8,550.61,0.25,0.995,124,500,,0.52,-1.0,4.5041
LC-Prompt,20.8,582.87,0.256,1.053,104,500,,-5.31,-5.0,3.5685
Truncation0.5,20.8,424.42,0.127,0.767,104,500,0.5,23.32,-5.0,4.9008
Truncation0.6,23.0,467.57,0.151,0.845,115,500,0.6,15.52,-2.8,4.919
Truncation0.7,24.6,500.44,0.174,0.904,123,500,0.7,9.58,-1.2,4.9157
Truncation0.8,25.4,523.95,0.195,0.947,127,500,0.8,5.34,-0.4,4.8478
Truncation0.9,25.8,540.66,0.223,0.977,129,500,0.9,2.32,0.0,4.7719
LLMLingua0.5,9.0,516.59,0.245,0.933,45,500,0.5,6.67,-16.8,1.7422
LLMLingua0.6,14.0,538.92,0.256,0.974,70,500,0.6,2.63,-11.8,2.5978
LLMLingua0.7,17.8,555.25,0.252,1.003,89,500,0.7,-0.32,-8.0,3.2058
LLMLingua0.8,21.6,578.08,0.251,1.044,108,500,0.8,-4.44,-4.2,3.7365
LLMLingua0.9,24.4,585.14,0.252,1.057,122,500,0.9,-5.72,-1.4,4.1699
