Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,43.14,302.48,0.122,302.483,569,1319,,0.0,0.0,14.2621
BeConcise,43.29,296.53,0.124,0.98,571,1319,,1.97,0.15,14.5989
OnlyNumbers,43.75,292.85,0.121,0.968,577,1319,,3.18,0.61,14.9394
AbbreWords,44.35,296.44,0.123,0.98,585,1319,,2.0,1.21,14.9609
LC-Prompt,40.41,320.29,0.123,1.059,533,1319,,-5.89,-2.73,12.6167
Truncation0.5,24.87,240.82,0.062,0.796,328,1319,0.5,20.38,-18.27,10.3272
Truncation0.6,34.42,268.08,0.073,0.886,454,1319,0.6,11.37,-8.72,12.8395
Truncation0.7,39.42,284.81,0.085,0.942,520,1319,0.7,5.84,-3.72,13.8408
Truncation0.8,42.08,294.19,0.098,0.973,555,1319,0.8,2.74,-1.06,14.3037
Truncation0.9,42.53,299.43,0.11,0.99,561,1319,0.9,1.01,-0.61,14.2037
LLMLingua0.5,10.16,273.18,0.122,0.903,134,1319,0.5,9.69,-32.98,3.7192
LLMLingua0.6,14.56,289.34,0.123,0.957,192,1319,0.6,4.34,-28.58,5.0321
LLMLingua0.7,20.85,295.23,0.121,0.976,275,1319,0.7,2.4,-22.29,7.0623
LLMLingua0.8,32.9,305.48,0.118,1.01,434,1319,0.8,-0.99,-10.24,10.7699
LLMLingua0.9,39.5,307.01,0.12,1.015,521,1319,0.9,-1.5,-3.64,12.866
