Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,92.42,314.27,0.484,314.272,1219,1319,,0.0,0.0,29.4078
BeConcise,94.39,227.71,0.398,0.725,1245,1319,,27.54,1.97,41.4518
OnlyNumbers,37.45,8.97,0.057,0.029,494,1319,,97.15,-54.97,417.5028
AbbreWords,91.66,143.07,0.266,0.455,1209,1319,,54.48,-0.76,64.0665
LC-Prompt,92.34,107.9,0.202,0.343,1218,1319,,65.67,-0.08,85.5792
Truncation0.5,33.36,245.34,0.196,0.781,440,1319,0.5,21.93,-59.06,13.5975
Truncation0.6,54.97,276.53,0.246,0.88,725,1319,0.6,12.01,-37.45,19.8785
Truncation0.7,73.16,295.92,0.3,0.942,965,1319,0.7,5.84,-19.26,24.7229
Truncation0.8,84.15,306.61,0.358,0.976,1110,1319,0.8,2.44,-8.27,27.4453
Truncation0.9,90.45,311.83,0.42,0.992,1193,1319,0.9,0.78,-1.97,29.0062
LLMLingua0.5,46.4,294.03,0.447,0.936,612,1319,0.5,6.44,-46.02,15.7807
LLMLingua0.6,63.84,301.23,0.448,0.959,842,1319,0.6,4.15,-28.58,21.1931
LLMLingua0.7,75.66,305.41,0.458,0.972,998,1319,0.7,2.82,-16.76,24.7733
LLMLingua0.8,87.49,308.2,0.459,0.981,1154,1319,0.8,1.93,-4.93,28.3874
LLMLingua0.9,91.21,315.58,0.469,1.004,1203,1319,0.9,-0.42,-1.21,28.9023
LoRA0.5,90.45,165.56,0.28,0.527,1193,1319,0.5,47.32,-1.97,54.6328
LoRAGuided0.5,90.67,165.41,0.275,0.526,1196,1319,0.5,47.37,-1.75,54.8153
LoRASoft0.5,92.34,172.92,0.308,0.55,1218,1319,0.5,44.98,-0.08,53.4004
LoRA0.6,92.12,188.04,0.336,0.598,1215,1319,0.6,40.17,-0.3,48.9896
LoRAGuided0.6,91.96,187.52,0.339,0.597,1213,1319,0.6,40.33,-0.46,49.0401
LoRASoft0.6,92.8,189.84,0.33,0.604,1224,1319,0.6,39.59,0.38,48.8833
LoRA0.7,93.18,232.33,0.403,0.739,1229,1319,0.7,26.07,0.76,40.1067
LoRAGuided0.7,93.18,219.41,0.381,0.698,1229,1319,0.7,30.18,0.76,42.4684
LoRASoft0.7,92.95,204.99,0.356,0.652,1226,1319,0.7,34.77,0.53,45.3437
LoRA0.8,93.03,262.4,0.438,0.835,1227,1319,0.8,16.5,0.61,35.4535
LoRAGuided0.8,93.03,239.71,0.411,0.763,1227,1319,0.8,23.72,0.61,38.8094
LoRASoft0.8,93.63,213.35,0.374,0.679,1235,1319,0.8,32.11,1.21,43.8856
LoRA0.9,93.71,280.1,0.443,0.891,1236,1319,0.9,10.87,1.29,33.4559
LoRAGuided0.9,92.87,249.03,0.408,0.792,1225,1319,0.9,20.76,0.45,37.2927
LoRASoft0.9,93.18,223.89,0.384,0.712,1229,1319,0.9,28.76,0.76,41.6187
