Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,92.42,314.27,0.484,314.272,1219,1319,,0.0,0.0,29.4078
BeConcise,94.39,227.71,0.398,0.725,1245,1319,,27.54,1.97,41.4518
OnlyNumbers,37.45,8.97,0.057,0.029,494,1319,,97.15,-54.97,417.5028
AbbreWords,91.66,143.07,0.266,0.455,1209,1319,,54.48,-0.76,64.0665
LC-Prompt,92.34,107.9,0.202,0.343,1218,1319,,65.67,-0.08,85.5792
Truncation0.5,33.36,245.34,0.196,0.781,440,1319,0.5,21.93,-59.06,13.5975
Truncation0.6,54.97,276.53,0.246,0.88,725,1319,0.6,12.01,-37.45,19.8785
Truncation0.7,73.16,295.92,0.3,0.942,965,1319,0.7,5.84,-19.26,24.7229
Truncation0.8,84.15,306.61,0.358,0.976,1110,1319,0.8,2.44,-8.27,27.4453
Truncation0.9,90.45,311.83,0.42,0.992,1193,1319,0.9,0.78,-1.97,29.0062
LLMLingua0.5,46.4,294.03,0.447,0.936,612,1319,0.5,6.44,-46.02,15.7807
LLMLingua0.6,63.84,301.23,0.448,0.959,842,1319,0.6,4.15,-28.58,21.1931
LLMLingua0.7,75.66,305.41,0.458,0.972,998,1319,0.7,2.82,-16.76,24.7733
LLMLingua0.8,87.49,308.2,0.459,0.981,1154,1319,0.8,1.93,-4.93,28.3874
LLMLingua0.9,91.21,315.58,0.469,1.004,1203,1319,0.9,-0.42,-1.21,28.9023
