Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,82.79,318.5,0.191,318.504,1092,1319,,0.0,0.0,25.9937
BeConcise,81.88,242.61,0.174,0.762,1080,1319,,23.83,-0.91,33.7496
OnlyNumbers,84.0,200.53,0.157,0.63,1108,1319,,37.04,1.21,41.889
AbbreWords,83.09,294.7,0.186,0.925,1096,1319,,7.47,0.3,28.1948
LC-Prompt,82.18,225.34,0.159,0.708,1084,1319,,29.25,-0.61,36.4693
Truncation0.5,31.69,244.63,0.093,0.768,418,1319,0.5,23.19,-51.1,12.9543
Truncation0.6,49.66,276.76,0.112,0.869,655,1319,0.6,13.11,-33.13,17.9433
Truncation0.7,65.88,297.74,0.131,0.935,869,1319,0.7,6.52,-16.91,22.1267
Truncation0.8,75.89,309.51,0.15,0.972,1001,1319,0.8,2.82,-6.9,24.5194
Truncation0.9,79.83,315.41,0.171,0.99,1053,1319,0.9,0.97,-2.96,25.3099
LLMLingua0.5,34.5,278.82,0.19,0.875,455,1319,0.5,12.46,-48.29,12.3736
LLMLingua0.6,47.31,297.72,0.19,0.935,624,1319,0.6,6.52,-35.48,15.8908
LLMLingua0.7,60.88,300.08,0.191,0.942,803,1319,0.7,5.78,-21.91,20.2879
LLMLingua0.8,73.54,300.77,0.188,0.944,970,1319,0.8,5.57,-9.25,24.4506
LLMLingua0.9,79.3,310.11,0.189,0.974,1046,1319,0.9,2.63,-3.49,25.5716
