Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,82.79,318.5,0.191,318.504,1092,1319,,0.0,0.0,25.9937
BeConcise,81.88,242.61,0.174,0.762,1080,1319,,23.83,-0.91,33.7496
OnlyNumbers,84.0,200.53,0.157,0.63,1108,1319,,37.04,1.21,41.889
AbbreWords,83.09,294.7,0.186,0.925,1096,1319,,7.47,0.3,28.1948
LC-Prompt,82.18,225.34,0.159,0.708,1084,1319,,29.25,-0.61,36.4693
Truncation0.5,31.69,244.63,0.093,0.768,418,1319,0.5,23.19,-51.1,12.9543
Truncation0.6,49.66,276.76,0.112,0.869,655,1319,0.6,13.11,-33.13,17.9433
Truncation0.7,65.88,297.74,0.131,0.935,869,1319,0.7,6.52,-16.91,22.1267
Truncation0.8,75.89,309.51,0.15,0.972,1001,1319,0.8,2.82,-6.9,24.5194
Truncation0.9,79.83,315.41,0.171,0.99,1053,1319,0.9,0.97,-2.96,25.3099
LLMLingua0.5,34.5,278.82,0.19,0.875,455,1319,0.5,12.46,-48.29,12.3736
LLMLingua0.6,47.31,297.72,0.19,0.935,624,1319,0.6,6.52,-35.48,15.8908
LLMLingua0.7,60.88,300.08,0.191,0.942,803,1319,0.7,5.78,-21.91,20.2879
LLMLingua0.8,73.54,300.77,0.188,0.944,970,1319,0.8,5.57,-9.25,24.4506
LLMLingua0.9,79.3,310.11,0.189,0.974,1046,1319,0.9,2.63,-3.49,25.5716
LoRA0.5,71.57,180.23,0.15,0.566,944,1319,0.5,43.41,-11.22,39.7104
LoRAGuided0.5,71.42,169.09,0.134,0.531,942,1319,0.5,46.91,-11.37,42.2379
LoRASoft0.5,69.6,168.49,0.134,0.529,918,1319,0.5,47.1,-13.19,41.3081
LoRA0.6,78.92,209.19,0.155,0.657,1041,1319,0.6,34.32,-3.87,37.7265
LoRAGuided0.6,77.33,191.9,0.143,0.603,1020,1319,0.6,39.75,-5.46,40.297
LoRASoft0.6,74.45,182.33,0.131,0.572,982,1319,0.6,42.75,-8.34,40.8326
LoRA0.7,79.83,245.95,0.167,0.772,1053,1319,0.7,22.78,-2.96,32.4578
LoRAGuided0.7,81.27,221.14,0.16,0.694,1072,1319,0.7,30.57,-1.52,36.7505
LoRASoft0.7,80.14,203.68,0.148,0.639,1057,1319,0.7,36.05,-2.65,39.346
LoRA0.8,82.41,279.09,0.181,0.876,1087,1319,0.8,12.37,-0.38,29.5281
LoRAGuided0.8,81.88,256.61,0.176,0.806,1080,1319,0.8,19.43,-0.91,31.9083
LoRASoft0.8,81.5,241.54,0.166,0.758,1075,1319,0.8,24.16,-1.29,33.7418
LoRA0.9,82.79,299.97,0.186,0.942,1092,1319,0.9,5.82,0.0,27.5994
LoRAGuided0.9,82.94,279.2,0.182,0.877,1094,1319,0.9,12.34,0.15,29.7063
LoRASoft0.9,82.03,267.26,0.178,0.839,1082,1319,0.9,16.09,-0.76,30.693
