Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,61.0,571.68,0.657,571.678,305,500,,0.0,0.0,10.6703
BeConcise,61.2,524.54,0.654,0.918,306,500,,8.25,0.2,11.6674
OnlyNumbers,61.4,446.35,0.66,0.781,307,500,,21.92,0.4,13.756
AbbreWords,60.8,452.25,0.655,0.791,304,500,,20.89,-0.2,13.4439
LC-Prompt,61.0,422.73,0.619,0.739,305,500,,26.05,0.0,14.43
Truncation0.5,40.6,438.67,0.251,0.767,203,500,0.5,23.27,-20.4,9.2552
Truncation0.6,47.6,483.33,0.32,0.845,238,500,0.6,15.45,-13.4,9.8483
Truncation0.7,52.2,516.96,0.395,0.904,261,500,0.7,9.57,-8.8,10.0975
Truncation0.8,55.8,542.31,0.475,0.949,279,500,0.8,5.14,-5.2,10.2893
Truncation0.9,59.4,559.9,0.563,0.979,297,500,0.9,2.06,-1.6,10.609
LLMLingua0.5,31.2,517.79,0.598,0.906,156,500,0.5,9.43,-29.8,6.0256
LLMLingua0.6,44.8,543.67,0.621,0.951,224,500,0.6,4.9,-16.2,8.2403
LLMLingua0.7,53.0,552.68,0.632,0.967,265,500,0.7,3.32,-8.0,9.5896
LLMLingua0.8,59.6,564.02,0.639,0.987,298,500,0.8,1.34,-1.4,10.567
LLMLingua0.9,61.8,561.74,0.647,0.983,309,500,0.9,1.74,0.8,11.0015
LoRA0.5,43.8,337.21,0.257,0.59,219,500,0.5,41.01,-17.2,12.9889
LoRAGuided0.5,44.8,321.72,0.258,0.563,224,500,0.5,43.72,-16.2,13.9252
LoRASoft0.5,48.4,318.16,0.262,0.557,242,500,0.5,44.35,-12.6,15.2125
LoRA0.6,51.4,391.12,0.326,0.684,257,500,0.6,31.58,-9.6,13.1417
LoRAGuided0.6,50.8,375.75,0.328,0.657,254,500,0.6,34.27,-10.2,13.5196
LoRASoft0.6,50.4,361.82,0.333,0.633,252,500,0.6,36.71,-10.6,13.9296
LoRA0.7,56.4,445.87,0.401,0.78,282,500,0.7,22.01,-4.6,12.6494
LoRAGuided0.7,56.6,431.25,0.402,0.754,283,500,0.7,24.56,-4.4,13.1246
LoRASoft0.7,55.4,411.99,0.41,0.721,277,500,0.7,27.93,-5.6,13.4469
LoRA0.8,57.8,494.67,0.485,0.865,289,500,0.8,13.47,-3.2,11.6846
LoRAGuided0.8,60.4,476.82,0.485,0.834,302,500,0.8,16.59,-0.6,12.6673
LoRASoft0.8,59.2,462.89,0.492,0.81,296,500,0.8,19.03,-1.8,12.7892
LoRA0.9,62.2,527.47,0.573,0.923,311,500,0.9,7.73,1.2,11.7921
LoRAGuided0.9,61.0,509.24,0.573,0.891,305,500,0.9,10.92,0.0,11.9786
LoRASoft0.9,60.8,489.86,0.576,0.857,304,500,0.9,14.31,-0.2,12.4117
LoRAAdaptive,60.2,483.09,0.562,0.845,301,500,adaptive,15.5,-0.8,12.4614
