Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,55.6,580.37,0.507,580.368,278,500,,0.0,0.0,9.5801
BeConcise,54.0,516.73,0.512,0.89,270,500,,10.97,-1.6,10.4503
OnlyNumbers,55.8,518.87,0.514,0.894,279,500,,10.6,0.2,10.7541
AbbreWords,54.6,566.21,0.515,0.976,273,500,,2.44,-1.0,9.6431
LC-Prompt,53.2,507.39,0.52,0.874,266,500,,12.57,-2.4,10.485
Truncation0.5,34.8,439.54,0.209,0.757,174,500,0.5,24.27,-20.8,7.9174
Truncation0.6,43.4,486.55,0.262,0.838,217,500,0.6,16.17,-12.2,8.9199
Truncation0.7,47.8,521.54,0.318,0.899,239,500,0.7,10.14,-7.8,9.1652
Truncation0.8,51.8,548.22,0.379,0.945,259,500,0.8,5.54,-3.8,9.4488
Truncation0.9,54.0,566.92,0.444,0.977,270,500,0.9,2.32,-1.6,9.5252
LLMLingua0.5,22.2,508.51,0.471,0.876,111,500,0.5,12.38,-33.4,4.3657
LLMLingua0.6,36.8,536.23,0.491,0.924,184,500,0.6,7.61,-18.8,6.8627
LLMLingua0.7,43.2,553.48,0.495,0.954,216,500,0.7,4.63,-12.4,7.8052
LLMLingua0.8,51.0,574.49,0.499,0.99,255,500,0.8,1.01,-4.6,8.8774
LLMLingua0.9,53.8,569.23,0.503,0.981,269,500,0.9,1.92,-1.8,9.4514
LoRA0.5,33.4,348.65,0.211,0.601,167,500,0.5,39.93,-22.2,9.5798
LoRAGuided0.5,34.6,335.75,0.21,0.579,173,500,0.5,42.15,-21.0,10.3053
LoRASoft0.5,34.8,330.99,0.21,0.57,174,500,0.5,42.97,-20.8,10.5139
LoRA0.6,39.0,406.66,0.263,0.701,195,500,0.6,29.93,-16.6,9.5903
LoRAGuided0.6,40.6,391.14,0.259,0.674,203,500,0.6,32.61,-15.0,10.3799
LoRASoft0.6,40.6,380.02,0.263,0.655,203,500,0.6,34.52,-15.0,10.6836
LoRA0.7,45.8,462.66,0.318,0.797,229,500,0.7,20.28,-9.8,9.8993
LoRAGuided0.7,48.2,435.91,0.315,0.751,241,500,0.7,24.89,-7.4,11.0573
LoRASoft0.7,43.4,424.93,0.321,0.732,217,500,0.7,26.78,-12.2,10.2134
LoRA0.8,49.2,502.43,0.379,0.866,246,500,0.8,13.43,-6.4,9.7924
LoRAGuided0.8,52.4,473.01,0.379,0.815,262,500,0.8,18.5,-3.2,11.078
LoRASoft0.8,50.6,453.88,0.383,0.782,253,500,0.8,21.79,-5.0,11.1483
LoRA0.9,54.2,538.74,0.446,0.928,271,500,0.9,7.17,-1.4,10.0605
LoRAGuided0.9,54.6,499.2,0.445,0.86,273,500,0.9,13.99,-1.0,10.9375
LoRASoft0.9,56.2,479.93,0.45,0.827,281,500,0.9,17.31,0.6,11.71
LoRAAdaptive,47.2,506.69,0.446,0.873,236,500,adaptive,12.7,-8.4,9.3154
