Method,Accuracy,Avg Tokens,Latency(s),Act Ratio,Correct,Total,Ratio,Token Savings,Accuracy Drop,Efficiency Score
Original,43.14,302.48,0.126,302.483,569,1319,,0.0,0.0,14.2621
BeConcise,43.29,296.53,0.127,0.98,571,1319,,1.97,0.15,14.5989
OnlyNumbers,43.75,292.85,0.126,0.968,577,1319,,3.18,0.61,14.9394
AbbreWords,44.35,296.44,0.129,0.98,585,1319,,2.0,1.21,14.9609
LC-Prompt,40.41,320.29,0.129,1.059,533,1319,,-5.89,-2.73,12.6167
Truncation0.5,24.87,240.82,0.064,0.796,328,1319,0.5,20.38,-18.27,10.3272
Truncation0.6,34.42,268.08,0.077,0.886,454,1319,0.6,11.37,-8.72,12.8395
Truncation0.7,39.42,284.81,0.09,0.942,520,1319,0.7,5.84,-3.72,13.8408
Truncation0.8,42.08,294.19,0.097,0.973,555,1319,0.8,2.74,-1.06,14.3037
Truncation0.9,42.53,299.43,0.11,0.99,561,1319,0.9,1.01,-0.61,14.2037
LLMLingua0.5,11.6,239.82,0.121,0.793,153,1319,0.5,20.72,-31.54,4.837
LLMLingua0.6,17.36,277.76,0.121,0.918,229,1319,0.6,8.17,-25.78,6.25
LLMLingua0.7,23.65,293.61,0.121,0.971,312,1319,0.7,2.93,-19.49,8.0549
LLMLingua0.8,35.33,302.75,0.119,1.001,466,1319,0.8,-0.09,-7.81,11.6697
LLMLingua0.9,39.8,303.65,0.119,1.004,525,1319,0.9,-0.39,-3.34,13.1072
